# source: OSM/Overpass, 2026-09-11, license ODbL
51.5296035	9.9310658	100	50	
51.5299642	9.9182489			
51.5300504	6.9293218	25	50	
51.5302717	6.9294537	215	50	
51.5303192	9.9182276			
51.5327442	8.3216547	350	70	
51.5350412	9.9157070			
51.5351240	9.9130835			
51.5354983	9.9153379			
51.5357508	7.6812788	15	50	
51.5357559	7.6814749	350	50	
51.5374679	7.3184916			
51.5382450	6.8713589	300	50	
51.5393676	6.8690078	125	50	
51.5401576	7.8106914		70	
51.5426603	7.9221518	270	70	
51.5453597	7.0152640		50	
51.5459133	9.9152130		30	
51.5502163	7.0791703	350		
51.5548279	9.9198826	340		
51.5550940	9.9195734	25		
51.5551712	9.9199538	200		
51.5552510	10.0050260		60	
51.5562562	9.9392282			
51.5563777	9.9389190			
51.5569027	9.9316352	15		
51.5578538	7.0594513		70	
51.5588487	7.2616234			
51.5601357	7.1481253			
51.5625419	9.4168442		50	
51.5625970	9.4166002		50	
51.5634170	6.4872746		50	
51.5635779	6.4878640		70	
51.5645324	7.3150340	195	50	
51.5658521	7.1466869		50	
51.5684189	6.4991943		70	
51.5709253	10.7044601		30	
51.5719894	9.2513915	180	70	
51.5736781	9.2504246	0	70	
51.5760498	6.9994081	50	50	
51.5806511	7.0796107			
51.5822819	7.3485369	165	50	
51.5840900	10.5116736		70	
51.5843615	7.7032706		50	
51.5853603	10.7853428			
51.5864360	7.0541359	95	50	
51.5875720	8.5718877	250	100	
51.5905381	6.9138988		50	
51.5920523	10.4801116	300	50	
51.5924843	8.1293389		70	
51.5974570	7.1057676		50	
51.6011073	6.7574202		50	
51.6018380	7.2680366		50	
51.6078822	6.6776083	240	50	
51.6083222	7.3933049	45	50	
51.6086308	7.1297487	85	50	
51.6086411	8.3364247	200	50	
51.6094166	10.4344020		30	
51.6096875	10.2109622	10	50	
51.6099977	10.2111432	190	50	
51.6101227	10.2108599	160		
51.6149414	6.8081496		50	
51.6155632	10.4177991			
51.6162759	10.4168276			
51.6185004	7.8231239		50	
51.6273946	10.2708630		80	
51.6292063	9.1350691			
51.6296477	7.2547762	270	50	
51.6307549	7.5846411		70	
51.6315273	7.3803085	15	50	
51.6316977	8.3413705	205	70	
51.6330715	6.4057514		70	
51.6378461	8.1043989		50	
51.6387679	9.9394291			
51.6465582	7.3030247	280	50	
51.6502910	8.0572830		50	
51.6503490	7.8299149			
51.6540258	7.8386484	5	50	
51.6542562	8.3498758			
51.6550081	10.3341624	0	50	
51.6557937	6.9763235	340	50	
51.6559502	7.2545829		50	
51.6577397	6.9820979		50	
51.6588351	10.3336503		50	
51.6626841	7.4668785		30	
51.6662220	6.9656996	350	50	
51.6666596	7.1970997	125	50	
51.6670677	7.1947431	300	50	
51.6691305	7.8214603			
51.6722905	7.8253859		50	
51.6735043	7.8294603	260	50	
51.6737523	7.2922972		50	
51.6742907	7.7811018	0	50	
51.6767411	8.8336524			
51.6779675	8.8298290			
51.6799175	8.5916573			
51.6814686	6.8428955	250	70	
51.6831291	7.8152478	260	50	
51.6831367	7.8155048		50	
51.6839491	7.8178167		50	
51.6842622	7.0206392	150	50	
51.6845939	7.8199702		50	
51.6865632	7.8119948		50	
51.6865742	7.8120911		50	
51.6905939	7.8091319		50	
51.6946442	7.6645109		70	
51.6953050	6.5531810		70	
51.6970014	7.9508717		50	
51.6985595	9.1699669	210	70	
51.7003488	9.1776154	80	70	
51.7010911	8.7820821		50	
51.7018749	8.7810957		50	
51.7031491	8.7800010	350	70	
51.7033473	6.7247073	330	70	
51.7149296	6.6832582		70	
51.7153168	6.5152979		70	
51.7156112	7.8403456			
51.7195551	9.0159748	260	70	
51.7197249	8.8326409	270	70	
51.7201850	8.8343380	90	70	
51.7257924	8.3344531	0	70	
51.7304897	8.2598161			
51.7362526	7.1606794	265	50	
51.7389270	8.9491233	270	70	
51.7389882	7.5396064		60	
51.7397280	8.9551592	90	100	
51.7397546	7.5386409		60	
51.7407876	7.3286884		70	
51.7429008	6.3263646	270	50	
51.7431361	6.3275541			
51.7439033	7.0576766		60	
51.7492564	9.9318020		50	
51.7537516	8.6666024	130	70	
51.7539771	7.4300939		50	
51.7542148	6.6827915		70	
51.7547825	10.2156408	170	80	
51.7605508	10.5496296	160	70	
51.7608402	8.5686583	260	70	
51.7616612	9.9619749		50	
51.7627188	8.6043719	280	100	
51.7627516	8.6070124	120	100	
51.7629102	9.9607721		50	
51.7629968	8.5756791	80	70	
51.7664560	8.7725069		100	
51.7755188	6.4373517	120	70	
51.7878503	8.3205016		50	
51.7986164	7.6446223	70	70	
51.8026890	6.3683314		70	
51.8053284	7.7069947		100	
51.8083371	8.2988695			
51.8110677	8.3234065	45	70	
51.8113721	9.7347137	290	50	
51.8158359	6.8134941	240	70	
51.8169585	6.8140163	60	70	
51.8245809	6.8517076		70	
51.8257778	6.8514589		50	
51.8290213	10.1919934		70	
51.8295489	9.4315847	230	100	
51.8340723	8.3415966	110	50	
51.8352053	9.0778886			
51.8357772	7.8573171			
51.8431001	10.5311164		60	
51.8435118	10.5321319		60	
51.8445951	7.2364370		50	
51.8474370	6.5729317		70	
51.8474747	6.5743201		70	
51.8497942	7.2015377		50	
51.8513179	11.5744739		50	
51.8551609	7.0725877			
51.8553734	7.0740779	280	70	
51.8553982	7.0752401			
51.8563931	6.7095586		70	
51.8565654	6.7097879		70	
51.8609215	8.9322260	85	70	
51.8617055	8.9508902		70	
51.8625138	6.5676522		70	
51.8647449	10.0646947		50	
51.8663793	6.8041627	315	80	
51.8666185	10.1333813		70	
51.8666192	6.8119721	100	80	
51.8666367	7.3726698	70	50	
51.8695527	10.5597072	220	50	
51.8780116	9.7843416	310	70	
51.8797509	7.0508477		100	
51.8807286	7.4973801		70	
51.8876623	10.7685590		50	
